provided_interaction_type_label	provided_interaction_type_id	mapped_to_interaction_type_label	mapped_to_interaction_type_id			
Nodricismo		creates habitat for	http://purl.obolibrary.org/obo/RO_0008505			no idea
NODRIZA		creates habitat for	http://purl.obolibrary.org/obo/RO_0008505			
NODRICISMO		creates habitat for	http://purl.obolibrary.org/obo/RO_0008505			
Fruto consumido		eats	http://purl.obolibrary.org/obo/RO_0002470		fruit consupmtion 	
Associated Plant		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
CollectedWith		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Vicinity		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Associated Insect		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			<- to be conservative
same sheet		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
on same slide		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
growing with		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Associated species		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			<- to be conservative
Associates		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			<- to be conservative
Plant Community		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			<- to be conservative
Assoc. sp.		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
other associated spp.		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Occurring with		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Associated species include		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Nardetalia strictae con inclusiones de otras comunidades						Nardetalia stricta is a taxon name and I would interpret ast interactsWith Nardetalia stricta
Growing with		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Direct associates		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Associated vegetation		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Assoc. spp include		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Assoc. spp.		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
1						
Assoc. sp		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Nivel2						
Nivel1						
egg						
coletado em						collect on may indicationg a host?
Associated		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
other						
Nearby plants		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
In association with		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Dominants						
Leaf						
found in same jar						
Assoc. spp		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Flower						
on same slab						
Associations		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Dominant vegetation						
associates include		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
associated species		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Associated plants		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Brickellia coulteri.  On east slope						
Dominant species						
Associated flora		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
uplands						
Attendant						
Species nearby		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Draba cuneifolia.  On cliff						
Ombrotrophic bog plateau densely forested with Picea mariana.  Dominant plants						
Sustrato						
parent						
agresion						
Ass. spp.		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Genitalia						
Body						
cortejo						usally a behavior of birds for sexual exibition. Not sure if it is an interaction, but for sure it involves two or more individuals. See this beatiful performace of Altantic Forest birds:https://www.youtube.com/watch?v=zRkbwI8EM_w
Picea abies forest.  Betula verrucosa abundant.  Dominant understory vasculars						
mate						
Association		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
1993						
Gymnocarpium dryopteris sub-association (Kielland-Lund). Dominant understory vasculars						
Betula verrucosa & Populus tremula.  Dominant understory vasculars						
Mature Picea abies forest with some Pinus silvestris and Betula verrucosa.  Dominant understory vasculars						
western portion recently burned with Pinus banksiana seedlings abundant.  Dominant plants of mire						
Tending						
part of same specimen?						
Uplands						
from same original lot						
Nests in						
riparian						
Trunk						
Stem						
with miniature trees (up to 10 m tall). These areas always have high precipitation and have much milder climate than other tropical forests in southern Vietnam						
Uneven aged Picea abies forest with much Bettula verrucosa.  Dominant understory vasculars						
Baccharis sergiloides.  On sand dunes						
Bouteloua gracilis/Buchloe dactyloides/Boutelouacurtipendula						
Signs and symptoms Typical behaviors of clinically infected fish include						
on slopes						
Old Picea abies-Pinus silvestris forest with some Betula verrucosa.  Dominant understory vasculars						
Boggy area with						
annuals						
on hill above						
indeterminada						
Artemisia filifolia/Sporobolus airoides/Andropogongerardii						
Strings						
Bouteloua hirsuta/Bouteloua curtipendula						
desert slopes at edge						
Echinochloa crus-gallii/Kochia scoparia						
duplicate cast						
managed Picea abies forest with remnant Pinus silvestris & some Sorbus aucuparia & Betula verrucosa.  Dominant understory vascular spp						
Keckiella antirrhinoides. Further down						
attached part						
Sara. Hilton Head Island sees record sea turtle nesting season. Bluffton Today (2010)						
offspring						
Lagg fen						
100 yr selectively cut Picea abies forest with remnant Pinus sylvestris.  Dominant understory vasculars						
Flarks						
with development taking place in death or debilitated branches of several woody plants. The following are plants known to be infested by this species and are present in Malta (cf. Haslam et al. 1977)						
Populus fremontii in riverbed.  On drainage slopes						
Formicidae						
Dominants in woodland						
kõrgus						
from same tray						
2014)						
India. World Journal of Zoology 9 (2)						
Distichlis spicata/Sporobolus airoides						
Artemisia filifolia/Schizachyrium scoparium						
Associate species		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Bouteloua gracilis/Buchloe dactyloides/Panicum obtusum						
Artemisia filifolia/Sporobolus cryptandrus						
Amsonia grandiflora. Moist bank at water's edge with						
Betula lutea. Subdominants						
Plant association		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
but other host plants are also recorded including						
and C. buxbaumii.  Bog						
Ostrya virginiana. Subdominants						
Fruit						
Fraxinus americana. Subdominants						
C & E Brazil (S of the Amazon)						
Acer rubrum. Subdominants						
15.2 million people live in areas were around 20–40% of people admitted to having the worm in the past.Centers for Disease Control and Prevention (CDC). (2015 January 20). Parasites – Loiasis. Global Health – Division of Parasitic Diseases. Retrieved from						
Tilia americana. Subdominants						
Salix glauce var. acutifolia and Betula glandulosa. Ground cover						
Rich fen						
Membracidae						
inhabitant						
up canyon find						
Riparian						
Community						
blindness. Eye worms typically cause little eye damage and last a few hours to a week. Other tissues in which this worm can be found includes						
Vegetation						
Schizachyrium cirratum.  Riparian						
Schizachyrium scoparium/Aristida purpurea/Boutelouahirsuta						
On dunes						
Melica nutans						
LOW SHRUB						
Bouteloua hirsuta/Buchloe dactyloides/Prosopis glandulosa						
2005) and Raorchestes gryllus. Figure 14. Ophryophryne elfina sp. n. in situ						
Quercus macrocarpa. Subdominants						
part						
Quercus rubra.  Subdominants						
habitation						
216-219. https						
Assoc						
as Schistoceros bimaculatus). Table 1. Bostrichidae recorded from Maltese Archipelago and neigbouring islands with respective chorotype codes. Abbreviations						
Acer rubrum.  Subdominants						
Under bark						
Baccharis salicifolia. At nearby outcrop						
631–632. doi						
Associated with species		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
Buchloe dactyloides/Eleocharis erythropoda						
Body part (not genitalia)						
Associated Species		ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506			
this beetle was also reared from most of these plants (cf. Muscarella et al. 2013). Lichenophanes varius seems to attack only wood invaded by the mycelia of some Xylariaceae fungi (Pyrenomycetes)						
Physalis						
Fagus grandifolia. Subdominants						
Shrub cover 15-20%						
Hospedero		has host	http://purl.obolibrary.org/obo/RO_0002454			
and Bromus rubens. Burn area. Associated species						
woodland-bushland						
moss layer is Sphagnum sp. also						
Cornus stolonifera.  Assoc. sp.						
Bouteloua gracilis/Buchloe dactyloides						
Tessaria sericea						
SW Indian populations  Kemp's ridley Critically Endangered Endangered						
Schizachyrium cirratum.   Riparian						
perseguir					hunting?	
original from which cast was made						
living amongst						
Juniperus deppeana weedy legacy						
in wash find						
Comm						
two species live in freshwater						
on lakebed						
Dominant ground						
Acer saccharum. Subdominants						
epibiont		has host	http://purl.obolibrary.org/obo/RO_0002454			https://en.wikipedia.org/wiki/Epibiont#:~:text=An%20epibiont%20(from%20the%20Ancient,definition%2C%20harmless%20to%20its%20host.
Ecology. Host plants		has host	http://purl.obolibrary.org/obo/RO_0002454			
